Nombre,Cantidad,Precio_ingreso,Precio,Id_producto,Ganancia,Proveedor
ventilador p  d mesa,3,"39,000","50,000",6902023082800,11000,lopez
colchon peño,2,"78,000","108,000",6941057412443,30000,sion
colchon gran,2,"102,500","132,000",6941057412450,29500,sion
calentador d ambiete,1,"65,000","88,000",7701023127547,23000,corbeta
ventilador universal,3,"75,000","97,000",7702561713001,22000,costamar
cortina baño,5,"12,000","18,500",7703520101020,6500,lopez
ventilaror kalley 40w,1,"68,000","88,000",7705946003087,20000,corveta
ventilador homeelements,4,"85,000","110,000",7707289940692,25000,kostamar
cortina bola papa noel x 3mt 1652A,90,"34,500","47,000",7707822752515,12500,lv
raquetas electricas,9,"15,500","25,000",7708650679012,9500,lopez
